Timestamps,AWS/EC2 NetworkIn,AWS/EC2 NetworkOut,System/Linux MemoryUtilization,AWS/EC2 CPUUtilization
2019-10-05 15:10:00+00:00,3169.0,3950.0,0,0.166666666667273
2019-10-05 15:15:00+00:00,3034.0,3521.0,0,0.169491525422804
2019-10-05 15:20:00+00:00,3088.0,2261.0,0,0.0
2019-10-05 15:25:00+00:00,4076.0,6021.0,0,0.166666666667273
2019-10-05 15:30:00+00:00,202.0,3504.0,0,1.16666666666636
2019-10-05 15:35:00+00:00,3692.0,8157.0,0,0.169491525424345
2019-10-05 15:40:00+00:00,16511.0,7442.0,0,0.169491525422804
2019-10-05 15:45:00+00:00,3168.0,9317.0,0,0.0
2019-10-05 15:50:00+00:00,5236.0,8157.0,0,0.169491525424345
2019-10-05 15:55:00+00:00,2202.0,8157.0,0,0.0
2019-10-05 16:00:00+00:00,3028.0,11980.0,0,0.169491525422804
